,Museum ID,Museum Name,Legal Name,Alternate Name,Museum Type,Institution Name,Street Address (Administrative Location),City (Administrative Location),State (Administrative Location),Zip Code (Administrative Location),Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Phone Number,Latitude,Longitude,Locale Code (NCES),County Code (FIPS),State Code (FIPS),Region Code (AAM),Employer ID Number,Tax Period,Income,Revenue
20216,8403600545,BROOKLYN AQUARIUM,BROOKLYN AQUARIUM SOCIETY INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2751 CONEY ISLAND AVE,BROOKLYN,NY,11235,1650 E 37TH ST BROOKLYN,BROOKLYN,NY,11235.0,7188374455,40.58343,-73.95435,1.0,47.0,36.0,2,112461838,201408.0,26217.0,26217.0
20314,8403602062,CENTRAL NEW YORK AQUARIUM SOCIETY,CENTRAL NEW YORK AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,923 WADSWORTH ST,SYRACUSE,NY,13208,148 SANDERS CREEK PKWY,SYRACUSE,NY,13208.0,,43.0724,-76.14939,1.0,,36.0,2,263632538,201408.0,0.0,0.0
20740,8403600457,GREATEST CITY AQUARIUM SOCIETY,GREATEST CITY AQUARIUM SOCIETY INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,58 PLYMOUTH ROAD,GREAT NECK,NY,11023,,,,,,40.80051,-73.72477,2.0,59.0,36.0,2,20574476,201408.0,0.0,0.0
20949,8409400268,HUDSON RIVER NATIONAL ESTUARINE RESEARCH RESERVE,HUDSON RIVER NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,MARGARET NORRIE STATE PARK,STAATSBURG,NY,12580,,,,,,41.85131,-73.8834,4.0,,36.0,2,,,,
21370,8403600541,NASSAU COUNTY AQUARIUM SOCIETY,NASSAU COUNTY AQUARIUM SOCIETY INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 358,GLENWOODLANDING,NY,11547,PO BOX 358,GLENWOOD LANDING,NY,11547.0,5167986766,40.82845,-73.64222,2.0,59.0,36.0,2,800831931,201412.0,0.0,0.0
21430,8409500130,NEW YORK AQUARIUM,NEW YORK AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,SURF AVENUE AT WEST 8TH STREET,BROOKLYN,NY,11224,SURF AVENUE AT WEST 8TH STREET,BROOKLYN,NY,11224.0,7182653400,40.57715,-73.98584,1.0,,36.0,2,,,,
21476,8403601474,NIAGARA AQUARIUM,NIAGARA AQUARIUM FOUNDATION INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,701 WHIRLPOOL ST,NIAGARA FALLS,NY,14301,,,,,7162853575,43.09422,-79.06056,1.0,63.0,36.0,2,161448764,201409.0,2229112.0,1865585.0
22471,8403901187,CLEVELAND AQUARIUM,CLEVELAND AQUARIUM INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,3412 RIDGE PARK DR,BROADVIEW HTS,OH,44147,,,,,,41.33457,-81.66576,2.0,35.0,39.0,4,341911811,201312.0,4625.0,4625.0
22497,8403900710,COLUMBUS AQUARIUM,COLUMBUS AQUARIUM FISH ENTHUSIASTS,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1038 WILLOW CREK DR,PLAIN CITY,OH,43064,,,,,,40.1,-83.27393,3.0,97.0,39.0,4,311449593,,,
22502,8403900844,COLUMBUS ZOO AND AQUARIUM,COLUMBUS ZOOLOGICAL PARK ASSOCIATION,COLUMBUS ZOOLOGICAL PARK ASSOCIATION,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 400,POWELL,OH,43065,,,,,6146453400,40.16385,-83.10565,2.0,41.0,39.0,4,314390844,201312.0,67535691.0,65811774.0
22712,8403900688,GREATER CINCINNATI AQUARIUM SOCIETY,GREATER CINCINNATI AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 40477,CINCINNATI,OH,45240,,,,,,39.28698,-84.52812,2.0,61.0,39.0,4,311395297,201312.0,0.0,0.0
22715,8403900138,GREATER CLEVELAND AQUARIUM,GREATER CLEVELAND AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2000 SYCAMORE ST,CLEVELAND,OH,44113,,,,,2168628803,41.49657,-81.70532,1.0,35.0,39.0,4,,,,
23021,8403900994,MEDINA COUNTY AQUARIUM SOCIETY,MEDINA COUNTY AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 1485,MEDINA,OH,44258,,,,,,41.1016,-82.12428,4.0,103.0,39.0,4,341397786,,,
23202,8409400529,OLD WOMAN CREEK NATIONAL ESTUARINE RESEARCH RESERVE,OLD WOMAN CREEK NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2514 CLEVELAND ROAD,HURON,OH,44839,,,,,,41.38276,-82.51483,4.0,43.0,39.0,4,,,,
24417,8409500112,MARK O. HATFIELD MARINE SCIENCE CENTER AQUARIUM NEWPORT,MARK O. HATFIELD MARINE SCIENCE CENTER AQUARIUM NEWPORT,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",OREGON STATE UNIVERSITY,2030 SOUTHEAST MARINE SCIENCE DRIVE,NEWPORT,OR,97365,,,,,5418670100,44.62343,-124.04691,3.0,41.0,41.0,6,481278540,,,
24480,8404100406,OREGON COAST AQUARIUM,OREGON COAST AQUARIUM INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2820 SE FENY SLIP ROAD,NEWPORT,OR,97365,,,,,,44.61825,-124.05239,3.0,41.0,41.0,6,930877807,201409.0,8293246.0,8121897.0
24592,8409400620,SOUTH SLOUGH NATIONAL ESTUARINE RESEARCH RESERVE,SOUTH SLOUGH NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,61907 SEVEN DEVILS RD,COOS BAY,OR,97420,,,,,,43.36387,-124.22586,4.0,,41.0,6,,,,
24870,8404200679,BUCKS COUNTY AQUARIUM SOCIETY,BUCKS COUNTY AQUARIUM SOCIETY LTD,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 130,CARVERSVILLE,PA,18913,THE CHURCHVILLE NATURE CENTER 501 CHURCHVILLE LANE,CHURCHVILLE,PA,18913.0,,40.38086,-75.04868,4.0,,42.0,2,232583430,201412.0,0.0,0.0
25772,8404200367,NORTH CENTRAL PENNSYLVANIA AQUARIUM REEF SOCIETY,NORTH CENTRAL PENNSYLVANIA AQUARIUM REEF SOCIETY INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1110 WALNUT STREET,WILLIAMSPORT,PA,17701,,,,,,41.25009,-77.0147,1.0,81.0,42.0,2,204283890,201408.0,0.0,0.0
25924,8409500148,PITTSBURGH ZOO & PPG AQUARIUM,PITTSBURGH ZOO & PPG AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,ONE WILD PLACE,PITTSBURGH,PA,15206,ONE WILD PLACE,PITTSBURGH,PA,15206.0,4126653640,40.4827,-79.92113,1.0,3.0,42.0,2,,,,
26443,8404400013,NEWPORT EXPLORATION CENTER AQUARIUM,NEWPORT EXPLORATION CENTER AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,175 MEMORIAL BLVD,NEWPORT,RI,2840,,,,,4018498430,41.48493,-71.29815,2.0,5.0,44.0,1,,,,
26446,8404400185,OCEANS AQUARIUM RESEARCH & SCIENCE CENTER,OCEANS AQUARIUM RESEARCH & SCIENCE CENTER,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1260 MAIN ST,COVENTRY,RI,2816,,,,,,41.69122,-71.56999,2.0,3.0,44.0,1,272586266,201412.0,0.0,0.0
26526,8409400022,ACE BASIN NATIONAL ESTUARINE RESEARCH RESERVE,ACE BASIN NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,GREEN POND,SC,29446,,,,,,,,,,45.0,3,,,,
26607,8404500103,COLUMBIA MARINE AQUARIUM CLUB,COLUMBIA MARINE AQUARIUM CLUB,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,101 LANDER DR,WEST COLUMBIA,SC,29169,,,,,,34.00272,-81.14641,2.0,63.0,45.0,3,200804843,201312.0,0.0,0.0
26777,8409400517,NORTH INLET-WINYAH BAY NATIONAL ESTUARINE RESEARCH RESERVE,NORTH INLET-WINYAH BAY NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,NORTH INLET,SC,29440,,,,,,,,,,45.0,3,,,,
26816,8409500157,RIPLEY'S AQUARIUM,RIPLEY'S AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1110 CELEBRITY CIRCLE,MYRTLE BEACH,SC,29577,1110 CELEBRITY CIRCLE,MYRTLE BEACH,SC,29577.0,8439160888,33.71618,-78.88591,1.0,51.0,45.0,3,,,,
26835,8404500301,SEA PINES FOREST PRESERVE FOUNDATION,SEA PINES FOREST PRESERVE FOUNDATION,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,175 GREENWOOD DR,HILTON HEAD,SC,29928,,,,,8438421979,32.14562,-80.7849,1.0,13.0,45.0,3,570985915,201312.0,156273.0,141877.0
26844,8404500291,SOUTH CAROLINA AQUARIUM,SOUTH CAROLINA AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,100 AQUARIUM WHARF,CHARLESTON,SC,29401,,,,,8435773474,32.79578,-79.94594,1.0,19.0,45.0,3,570961897,201403.0,9259445.0,8534145.0
27565,8409500158,RIPLEY'S AQUARIUM OF THE SMOKIES,RIPLEY'S AQUARIUM OF THE SMOKIES,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,88 RIVER RD,GATLINBURG,TN,37738,88 RIVER RD,GATLINBURG,TN,37738.0,8654308808,35.71282,-83.51481,4.0,155.0,47.0,3,,,,
27624,8404700318,TENNESSEE AQUARIUM,TENNESSEE AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 11048,CHATTANOOGA,TN,37401,1 BROAD ST,CHATTANOOGA,TN,37401.0,4232650695,35.05586,-85.311,1.0,65.0,47.0,3,581837154,201312.0,24102131.0,20631557.0
27771,8409500009,AQUARIUM & RAINFOREST AT MOODY GARDENS,AQUARIUM & RAINFOREST AT MOODY GARDENS INC.,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1 HOPE BLVD,GALVESTON,TX,77554,1 HOPE BLVD,GALVESTON,TX,77554.0,8005824673,29.28751,-94.85554,4.0,167.0,48.0,5,,,,
27772,8404800626,AQUARIUM AT ROCKPORT HARBOR,AQUARIUM AT ROCKPORT HARBOR INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,706 NAVIGATION CIRCLE,ROCKPORT,TX,78382,,,,,3617270016,28.02462,-97.05056,3.0,7.0,48.0,5,260671367,201312.0,138940.0,103537.0
28098,8404800421,DALLAS FORT WORTH MARINE AQUARIUM SOCIETY,DALLAS FORT WORTH MARINE AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1512 CRESTRIDGE DR,CLEBURNE,TX,76033,,,,,,32.62463,-97.05902,2.0,113.0,48.0,5,43588455,201406.0,21949.0,13040.0
28106,8404800810,DALLAS MARINE AQUARIUM SOCIETY,DALLAS MARINE AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 851912,MESQUITE,TX,75185,4760 PRESTON RD STE 244-311,FRISCO,TX,75185.0,,33.12032,-96.80535,2.0,85.0,48.0,5,352351789,,,
28115,8409500202,DALLAS WORLD AQUARIUM,THE DALLAS WORLD AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1801 N GRIFFIN STREET,DALLAS,TX,75202,1801 N GRIFFIN STREET,DALLAS,TX,75202.0,2147202224,32.78322,-96.80478,1.0,113.0,48.0,5,,,,
28116,8404801812,DALLAS WORLD AQUARIUM CORP,DALLAS WORLD AQUARIUM CORP,DALLAS WORLD AQUARIUM CORP,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1801 N GRIFFIN ST,DALLAS,TX,75202,,,,,2147202224,32.78322,-96.80478,1.0,113.0,48.0,5,752942601,,,
28254,8404801104,FEDERATION OF TEXAS AQUARIUM SOCIETIES,FEDERATION OF TEXAS AQUARIUM SOCIETIES INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,3502 CARTER CREEK PKWY,BRYAN,TX,77802,,,,,9798463226,30.64486,-96.34329,1.0,41.0,48.0,5,742168021,,,
28397,8404800436,GREATER HOUSTON AQUARIUM CLUB,GREATER HOUSTON AQUARIUM CLUB,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1709 BRUN ST,HOUSTON,TX,77019,,,,,,29.7506,-95.40879,1.0,201.0,48.0,5,113837103,,,
28524,8409500081,HOUSTON AQUARIUM,HOUSTON AQUARIUM INC.,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,410 BAGBY STREET,HOUSTON,TX,77002,410 BAGBY STREET,HOUSTON,TX,77002.0,7133155000,29.76457,-95.36671,1.0,201.0,48.0,5,,,,
28738,8404801820,MARINE AQUARIUM & REEF SOCIETY OF HOUSTON,MARINE AQUARIUM & REEF SOCIETY OF HOUSTON INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,223 DARBY TRAILS DRIVE,SUGAR LAND,TX,77479,,,,,,29.5971,-95.68854,2.0,157.0,48.0,5,752981833,201412.0,0.0,0.0
29205,8409500179,SEA LIFE AQUARIUM - GRAPEVINE,SEA LIFE AQUARIUM - GRAPEVINE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,3000 GRAPEVINE MILLS PKWY,GRAPEVINE,TX,76051,3000 GRAPEVINE MILLS PKWY,GRAPEVINE,TX,76051.0,8778197677,32.96617,-97.04241,4.0,439.0,48.0,5,,,,
29209,8409500183,SEAWORLD SAN ANTONIO,SEAWORLD SAN ANTONIO,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,10500 SEAWORLD DRIVE,SAN ANTONIO,TX,78251,10500 SEAWORLD DRIVE,SAN ANTONIO,TX,78251.0,2105233000,29.46206,-98.69915,1.0,29.0,48.0,5,,,,
29249,8404801232,SOUTH PADRE ISLAND AQUARIUM,SOUTH PADRE ISLAND AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,106 W MARLIN ST,SOUTH PADRE I,TX,78597,,,,,9567617067,26.10975,-97.16762,3.0,61.0,48.0,5,742688078,,,
29427,8409500199,TEXAS STATE AQUARIUM,TEXAS STATE AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2710 N SHORELINE BOULEVARD,CORPUS CHRISTI,TX,78402,2710 N SHORELINE BOULEVARD,CORPUS CHRISTI,TX,78402.0,3618811200,27.81475,-97.39201,4.0,355.0,48.0,5,237044950,201312.0,18329336.0,16409296.0
29753,8404900089,WASATCH MARINE AQUARIUM SOCIETY,WASATCH MARINE AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,6634 SOUTH 5135 WEST,WEST JORDAN,UT,84081,,,,,8019135634,40.63089,-112.01346,2.0,35.0,49.0,6,203440647,201312.0,0.0,0.0
29922,8409400103,CHESAPEAKE BAY VIRGINIA NATIONAL ESTUARINE RESEARCH RESERVE,CHESAPEAKE BAY VIRGINIA NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,7581 SPENCER ROAD,GLOUCESTER POINT,VA,23062,,,,,,37.24983,-76.49879,2.0,73.0,51.0,3,,,,
30453,8405100567,POTOMAC VALLEY AQUARIUM SOCIETY,POTOMAC VALLEY AQUARIUM SOCIETY INC GERALD HOFFMAN,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 684,MERRIFIELD,VA,22116,PO BOX 664,MERRIFIELD,VA,22116.0,,38.87367,-77.235,2.0,59.0,51.0,3,521427780,201312.0,0.0,0.0
31500,8409500149,POINT DEFIANCE ZOO & AQUARIUM,POINT DEFIANCE ZOO & AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,5400 N PEARL ST,TACOMA,WA,98407,5400 N PEARL ST,TACOMA,WA,98407.0,2535915337,47.30119,-122.51573,1.0,53.0,53.0,6,,,,
31518,8405300542,PUGET SOUND AQUARIUM SOCIETY,PUGET SOUND AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1322 HUDSON STREET,DUPONT,WA,98327,,,,,,47.31125,-122.36422,2.0,33.0,53.0,6,911703830,201407.0,0.0,0.0
31552,8405300426,SEATTLE AQUARIUM,SEATTLE AQUARIUM SOCIETY-SEAS,SEATTLE AQUARIUM,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1438 ALASKAN WAY PIER 5,SEATTLE,WA,98101,,,,,2063864332,47.60755,-122.34233,1.0,33.0,53.0,6,911189249,201312.0,15301907.0,14467857.0
32034,8405500534,GREEN BAY AQUARIUM SOCIETY,GREEN BAY AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,825 N BAY RIDGE RD,APPLETON,WI,54915,,,,,,44.49313,-87.94302,1.0,9.0,55.0,4,391642111,201409.0,0.0,0.0
